State Capitals
abbreviation, state, capital, largest, admitted, reps, duplicate, population
AL,Alabama,Montgomery,Huntsville,1819,7,Alabama,5074296
AK,Alaska,Juneau,Anchorage,1959,1,Alaska,733583
AZ,Arizona,Phoenix,Phoenix,1912,9,Arizona,7359197
AR,Arkansas,Little Rock,Little Rock,1836,4,Arkansas,3045637
CA,California,Sacramento,Los Angeles,1850,53,California,39029342
CO,Colorado,Denver,Denver,1876,7,Colorado,5839926
CT,Connecticut,Hartford,Bridgeport,1788,5,Connecticut,3626205
DE,Delaware,Dover,Wilmington,1787,1,Delaware,1018396
FL,Florida,Tallahassee,Jacksonville,1845,27,Florida,22244823
GA,Georgia,Atlanta,Atlanta,1788,14,Georgia,10912876
HI,Hawaii,Honolulu,Honolulu,1959,2,Hawaii,1440196
ID,Idaho,Boise,Boise,1890,2,Idaho,1939033
IL,Illinois,Springfield,Chicago,1818,18,Illinois,12582032
IN,Indiana,Indianapolis,Indianapolis,1816,9,Indiana,6833037
IA,Iowa,Des Moines,Des Moines,1846,4,Iowa,3200517
KS,Kansas,Topeka,Wichita,1861,4,Kansas,2937150
KY,Kentucky,Frankfort,Louisville,1792,6,Kentucky,4512310
LA,Louisiana,Baton Rouge,New Orleans,1812,6,Louisiana,4590241
ME,Maine,Augusta,Portland,1820,2,Maine,1385340
MD,Maryland,Annapolis,Baltimore,1788,8,Maryland,6164660
MA,Massachusetts,Boston,Boston,1788,9,Massachusetts,6981974
MI,Michigan,Lansing,Detroit,1837,14,Michigan,10034113
MN,Minnesota,Saint Paul,Minneapolis,1858,8,Minnesota,5717184
MS,Mississippi,Jackson,Jackson,1817,4,Mississippi,2940057
MO,Missouri,Jefferson City,Kansas City,1821,8,Missouri,6177957
MT,Montana,Helena,Billings,1889,1,Montana,1122867
NE,Nebraska,Lincoln,Omaha,1867,3,Nebraska,1967923
NV,Nevada,Carson City,Las Vegas,1864,4,Nevada,3177772
NH,New Hampshire,Concord,Manchester,1788,2,New Hampshire,1395231
NJ,New Jersey,Trenton,Newark,1787,12,New Jersey,9261699
NM,New Mexico,Santa Fe,Albuquerque,1912,3,New Mexico,2113344
NY,New York,Albany,New York City,1788,27,New York,19677151
NC,North Carolina,Raleigh,Charlotte,1789,13,North Carolina,10698973
ND,North Dakota,Bismarck,Fargo,1889,1,North Dakota,779261
OH,Ohio,Columbus,Columbus,1803,16,Ohio,11756058
OK,Oklahoma,Oklahoma City,Oklahoma City,1907,5,Oklahoma,4019800
OR,Oregon,Salem,Portland,1859,5,Oregon,4240137
PA,Pennsylvania,Harrisburg,Philadelphia,1787,18,Pennsylvania,12972008
RI,Rhode Island,Providence,Providence,1790,2,Rhode Island,1093734
SC,South Carolina,Columbia,Charleston,1788,7,South Carolina,5282634
SD,South Dakota,Pierre,Sioux Falls,1889,1,South Dakota,909824
TN,Tennessee,Nashville,Nashville,1796,9,Tennessee,7051339
TX,Texas,Austin,Houston,1845,36,Texas,30029572
UT,Utah,Salt Lake City,Salt Lake City,1896,4,Utah,3380800
VT,Vermont,Montpelier,Burlington,1791,1,Vermont,647064
VA,Virginia,Richmond,Virginia Beach,1788,11,Virginia,8683619
WA,Washington,Olympia,Seattle,1889,10,Washington,7785786
WV,West Virginia,Charleston,Charleston,1863,3,West Virginia,1775156
WI,Wisconsin,Madison,Milwaukee,1848,8,Wisconsin,5892539
WY,Wyoming,Cheyenne,Cheyenne,1890,1,Wyoming,581381
